hit_index,hit_distance,drop_point
1,38421,822103
2,24343,349870
3,58178,1241554
4,27230,314795
5,57027,969103
6,90981,1546426
7,45026,725893
8,35817,480862
9,15137,203644
10,1304,22511
11,84106,1614037
12,23687,365468
13,102849,1986718
14,75993,1484242
15,65204,1175982
16,85906,1524828
17,32297,643084
18,4334,91042
19,12273,182389
20,64724,1285984
21,113179,1885961
22,63584,1040998
23,72422,1468704
24,75621,1532717
25,13179,217588
26,68242,1435751
27,2368,29560
28,41417,859924
29,25418,460527
30,41414,791429
31,98284,1653225
32,93177,1662412
33,85864,1636932
34,55434,1157108
35,4904,47881
36,53505,846247
37,7879,79159
38,66381,1248523
39,90381,1819394
40,96976,1926052
41,22357,365584
42,1594,12975
43,44505,882341
44,36373,639466
45,48705,882937
46,4076,50728
47,64168,1044089
48,35766,693635
49,69956,1333885
50,58990,1231418
51,27278,583708
52,36110,730320
53,72864,1467321
54,37233,638174
55,81355,1557312
56,18494,265812
57,8452,140100
58,16767,340093
59,63477,1186703
60,40580,792030
61,82194,1718090
62,30837,620699
63,107760,1787378
64,51228,850936
65,44274,716794
66,91311,1852892
67,24314,505975
68,2147,15258
69,85900,1702731
70,27378,462741
71,86189,1696584
72,52391,1047800
73,65705,1360378
74,65861,1356866
75,8938,176055
76,17717,234053
77,48837,805588
78,11419,150288
79,47449,611853
80,45635,858363
81,42419,865862
82,34727,499384
83,9761,125156
84,84833,1819825
85,66631,1324782
86,51134,1021526
87,71227,895489
88,59991,1117835
89,93387,1795272
90,40035,823012
91,6947,120618
92,27766,404730
93,56399,1040937
94,49199,995294
95,19073,319569
96,42434,906339
97,53449,1069340
98,24410,457019
99,109955,1974766
100,12374,163943
101,76931,1294909
