rangeGen,actualDropRate,expectedDropRate
1,1.00000000,1.00000000
2,0.50168500,0.50000000
3,0.33258000,0.33333333
5,0.20069500,0.20000000
10,0.10044500,0.10000000
20,0.04962500,0.05000000
50,0.01957500,0.02000000
100,0.01006500,0.01000000
150,0.00657500,0.00666667
200,0.00487000,0.00500000
300,0.00325000,0.00333333
500,0.00199000,0.00200000
700,0.00143500,0.00142857
1000,0.00097500,0.00100000
5000,0.00015500,0.00020000
10000,0.00006500,0.00010000
50000,0.00003000,0.00002000
100000,0.00000000,0.00001000
